イベントNo.,イベント題名,クイズ文,満腹増減1,安心増減1,満腹増減2,安心増減2,正解,不正解,イベント概要
1,災害発生！,あいうえお,0,0,0,0,正解,不正解,自然災害はいつ起きるかわからない。災害に備え、日頃から準備をしておくことが大切だ。
2,避難所到着！,かきくけこ,-2,-1,0,-1,正解,不正解,避難所についたら、まず個人情報やアレルギーなどを記帳する。避難所によっては毛布などの生活用品を支給してもらえる。
3,ロウソク以外の灯りが欲しい,ロウソクが切れそうだ。ロウソクの代わりになるものはどっち？,1,1,0,-1,ツナの缶詰,みかんの缶詰,停電が続く中、ロウソク以外の灯りとして、ツナの缶詰が活用できる。
4,連絡を取るときに使うのは、スマホ？公衆電話？,災害時に連絡を取るのに、適した連絡手段はどっち？,0,1,0,-1,公衆電話,スマートフォン,『災害時優先電話』である公衆電話を使おう。『災害用伝言ダイヤル』で『171』で家族に安否を伝えることができる。
5,トイレに行こうかな？,トイレはいつ行ったらいい？,-1,1,-3,-4,こまめに行っておく,必要な時に行く,トイレを我慢すると、便秘や膀胱炎の原因になる。避難所はトイレが混雑することがあるので、こまめに用を足すようにしよう。
6,慣れない場所で眠れない！,避難所で周囲の人が気になって眠れないとき、どうする？,-1,1,-3,-4,段ボールで仕切りを作る,音楽を流す,避難所は見ず知らずの人と生活を共有するスペースだ。他の人が気になって眠れないときは、段ボールで仕切りを作ろう。
7,電池がない！,単三電池を単一電池の代わりにするのに必要なものは？,0,1,0,-1,布とアルミホイル,紙と木の板,単三電池に布を巻いて、アルミホイルを底につけることで、単一電池にすることができる。
8,途中から避難する？,避難所は災害直後でなくても利用できる？,0,1,0,0,できる,できない,災害直後でなくても、避難所は利用できる。
9,避難所を利用できるのは近隣住民だけ？,自宅の近くの避難所しか利用できない？,0,1,0,0,いいえ,はい,避難所は外出先や勤務地など、どこでも利用できる。
10,エマージェンシーシートってなんだろう？,エマージェンシーシートとは、どのようなもの？,0,2,0,-2,防寒に使用できるシート,避難所で個人情報を記入するシート,軽量コンパクトな防寒シートです。傘代わりにしたり、丈夫なので怪我の固定や担架にも。
11,綺麗な水がない,水がない時にあると便利な物は？,0,2,0,-2,ウエットティッシュ,ティッシュペーパー,災害時、綺麗な水は手に入りづらい。手洗い・体拭き、怪我をした時に傷口を清潔にする状況などにウエットティッシュがおすすめ！
12,給水車がやってきた！飲み水を運ぶのに向いているのは？,給水車から飲水を運ぶのに向いている道具はどっち？,1,1,-1,-1,ビニール袋,バケツ,給水車から飲水を運ぶ時、ビニール袋も有力なアイテムです。
13,トイレ故障！簡易トイレの作り方とは?!,簡易トイレを自作するために必要な材料はどれ？,-1,1,-3,-3,段ボール、ビニール袋、新聞紙,枝、草、葉っぱ,穴を開けた段ボールの箱の中に、ビニール袋を入れ、新聞紙を敷き詰めれば簡易トイレの完成！
14,着替える場所がない,着替え場所にあると便利なものは？,0,2,0,-2,「使用中」の札,ストップウォッチ,仕切りがなく、着替える際に困ることがある。避難者同士で協力して仕切りを作り、「使用中」などの札を使用しよう。
15,子供の声が気になる,子供の騒ぐ声がうるさいと、避難所で問題になったときの対処法は？,0,1,0,-1,子供たちに自ら対策を考えてもらう,大人が騒ぐことをやめるように強制する,避難所で子供が騒いでしまう場合、ただ叱るのではなく、子供たちに自ら対策を考えてもらうことも有効だ。
16,エコノミークラス症候群や生活不活発病の予防,エコノミークラス症候群や生活不活発病の予防に効果的なのは？,-1,2,-2,-1,ラジオ体操,歌を歌う,避難所生活では運動不足になりがちのため、手軽に体を動かせるラジオ体操を行うと良い。
17,埃がたたない掃除方法,埃がたたない掃除方法は？,0,1,0,-1,濡れた新聞紙で拭く,布で埃を払う,近くに避難者がいる場合、埃をたてない掃除の仕方として濡れた新聞紙を敷く方法が有効である。
18,先に食べるべきなのは？,配給でもらったお菓子とおにぎり。先に食べるべきなのは？,1,1,-3,-3,おにぎり,お菓子,避難所で支給される食べ物の中には、足の早いものもある(特に手作り)。賞味期限や保存環境を考慮して食べる順番を決めよう。
19,1日に必要な運動量,1日にどのくらい運動する機会が必要？,0,1,-1,-2,3回程度,気分次第,1日に3回、適度な運動を意識的に行う必要がある。
20,水不足で歯磨きできない,水不足で歯磨きができない状況で役立つ物は？,0,2,-2,-2,口腔洗浄液,牛乳,避難所では水不足に陥りやすく、歯磨きができない状況になりやすい。口腔洗浄液や入れ歯消毒錠などを用意しておくと良い。
21,感染症の予防,避難所ではうがい、手洗いはどのくらい行うべき？,0,1,0,-1,こまめに行う,気になったときに行う,風邪などが流行りやすくなるので手洗い、うがいが大切になる。
22,水を放置してしまった…,日向に水を放置してしまった！まだ飲める？,0,0,0,0,飲めない,飲める,夏場、日向に放置した飲み水は飲まないほうが良い。放置してしまった場合は飲むためではなく、生活用水として利用しよう。
23,靴が臭い！消臭するには？,避難所生活が続くと靴が臭くなることがある。消臭方法として正しいのはどれ？,-1,1,-2,-3,10円玉,100円玉,10円玉は銅でできているため、靴の中に入れると消臭効果が見込める（複数個入れよう）。
24,尻が痛い！簡易クッションの素材とは！？,簡易クッションにできるのはどちらでしょう,-1,1,-2,-3,ビニール袋,ペットボトル,ビニール袋に半分程度空気を入れる。座布団は難しいが、タオルを巻いたりして、枕の代わりにしたり、座る時腰に当てるのもいい。
25,支援物資が少ない状況での食料調達方法,支援物資が少ない状況での食料調達方法は？,2,1,-2,-1,近隣のスーパーなどを探す,あきらめる,支援物資の到着が遅れて食料が少ない状況では、食料が備蓄されていそうな近隣のスーパーやコンビニを手分けして探すことが有効。
26,服薬していた薬の名前がわからない,服薬していた薬の名前がわからない場合、何から類推できる？,0,2,-1,-2,食べてはいけない果物,好きな食べ物,服薬に際して、食べてはいけないと言われている食品や果物などの情報から、薬名を類推できる可能性がある。
27,避難所での靴事情,避難所では自分で靴を管理する。この時の必須アイテムは？,0,1,0,-1,ビニール袋,ハサミ,靴を脱いで避難所生活を送るため、住民一人ひとりに靴を入れられるビニール袋があるといい。
28,消費期限切れの非常食、食べたい……,消費期限が切れた非常食は食べてもいい？,0,1,-1,-1,食べてはいけない,食べてもいい,消費期限が指定されている食品は劣化が早いため、健康を害する可能性が高くなります。食品は食べずに廃棄しなければいけません。
29,冬の避難所生活で精神安定を図れる意外なこと,冬の避難所生活で精神安定を図れる意外なことは？,0,2,-1,-2,焚き火,雪かき,焚き火が精神安定につながると言われている。また、体を温めることができるので基礎代謝を上げることができる。
30,配給の食事が残ってしまったらどうしよう？,冷蔵庫などがない場合、配給の食事が余ってしまったらどうするべき？,0,1,-1,-1,捨てる,燻製にする,冷蔵庫に入れたり、温度管理を徹底して保存する必要がある。保存できる環境がない場合は、食中毒を防ぐために捨てる選択も必要。
31,人間が1日に必要とする飲水の量は？,1日に必要とする飲水の量は？(食事から得る水分を除く),1,1,0,-1,1200ml,2000ml,50kgの成人の場合、食事等から得られる1300mlの水分をのぞいて、人間が1日に必要とする飲水の量は1200ml。
32,熱中症の対処法は？,熱中症の疑いがあるとき、濡れタオルはどこにあてるとよい？,0,2,0,-1,首周り,頭,熱中症の可能性がある場合は、濡れタオルを使用し「首の回り、わきの下、足のつけ根」などを冷やすことが有効です。
